run_a,run_b,parameter,ari
0,1,cutoff_inter,0.6926752703092998
0,3,cutoff_intra,0.7333350093993746
0,9,k_inter,0.6105657412193001
0,27,k_intra,0.6327170477170816
1,2,cutoff_inter,0.762620742313004
1,4,cutoff_intra,0.7737841376195574
1,10,k_inter,0.5832529524399801
1,28,k_intra,0.6273259959042448
2,5,cutoff_intra,0.7768788860967866
2,11,k_inter,0.5480613558637923
2,29,k_intra,0.6690419056990482
3,4,cutoff_inter,0.9181435681206881
3,6,cutoff_intra,0.6664696833607394
3,12,k_inter,0.6254070537850527
3,30,k_intra,0.6638770087049911
4,5,cutoff_inter,0.7324950818357364
4,7,cutoff_intra,0.7520364112681553
4,13,k_inter,0.5856343100417262
4,31,k_intra,0.713235330004157
5,8,cutoff_intra,0.7472886677476235
5,14,k_inter,0.5888363100096167
5,32,k_intra,0.7467925150059916
6,7,cutoff_inter,0.7224789695364807
6,15,k_inter,0.6483641000283651
6,33,k_intra,0.604828785042714
7,8,cutoff_inter,0.7054296911029498
7,16,k_inter,0.6002349543785634
7,34,k_intra,0.7191982382228534
8,17,k_inter,0.6141989364226591
8,35,k_intra,0.680253020756443
9,10,cutoff_inter,0.7278706378520188
9,12,cutoff_intra,0.7518553422010984
9,18,k_inter,0.708634298574117
9,36,k_intra,0.7100104434777276
10,11,cutoff_inter,0.7636703822627534
10,13,cutoff_intra,0.810176246936176
10,19,k_inter,0.6184675797207483
10,37,k_intra,0.79010209681643
11,14,cutoff_intra,0.8616078997920176
11,20,k_inter,0.6995609726625637
11,38,k_intra,0.7332107537568275
12,13,cutoff_inter,0.8032570833314473
12,15,cutoff_intra,0.8519567025597365
12,21,k_inter,0.6829559108722679
12,39,k_intra,0.8291609766711248
13,14,cutoff_inter,0.780373183033157
13,16,cutoff_intra,0.8484520564745409
13,22,k_inter,0.6986045946905861
13,40,k_intra,0.7412270356381467
14,17,cutoff_intra,0.7689151442026602
14,23,k_inter,0.7495887376430604
14,41,k_intra,0.7328128174403187
15,16,cutoff_inter,0.8005957841506899
15,24,k_inter,0.7161675749552449
15,42,k_intra,0.7832422139950871
16,17,cutoff_inter,0.7692094537232049
16,25,k_inter,0.8300906502034866
16,43,k_intra,0.8100669558051005
17,26,k_inter,0.7468028774143131
17,44,k_intra,0.8666725554953827
18,19,cutoff_inter,0.7055107159417348
18,21,cutoff_intra,0.7734597850795447
18,45,k_intra,0.770649483607054
19,20,cutoff_inter,0.6303298677197107
19,22,cutoff_intra,0.9436069204370061
19,46,k_intra,0.6555755852257963
20,23,cutoff_intra,0.730743566554604
20,47,k_intra,0.649109544084497
21,22,cutoff_inter,0.8548855812083904
21,24,cutoff_intra,0.8157449157639951
21,48,k_intra,0.7008519395906084
22,23,cutoff_inter,0.7531051787939642
22,25,cutoff_intra,0.7186543667419479
22,49,k_intra,0.6594821832056285
23,26,cutoff_intra,0.747772116305925
23,50,k_intra,0.8000681523260381
24,25,cutoff_inter,0.7962252940104836
24,51,k_intra,0.846443331341639
25,26,cutoff_inter,0.6609877895951618
25,52,k_intra,0.6914619258554949
26,53,k_intra,0.7660436350279721
27,28,cutoff_inter,0.8450203777469095
27,30,cutoff_intra,0.7570959633040073
27,36,k_inter,0.5933122734868441
27,54,k_intra,0.6537928604567663
28,29,cutoff_inter,0.8342519410429106
28,31,cutoff_intra,0.8338818844382223
28,37,k_inter,0.671621089864705
28,55,k_intra,0.6568083552804485
29,32,cutoff_intra,0.7123828106293199
29,38,k_inter,0.6398131893252547
29,56,k_intra,0.6225523835719052
30,31,cutoff_inter,0.8635810408091429
30,33,cutoff_intra,0.64506721482595
30,39,k_inter,0.6566728640824386
30,57,k_intra,0.7034472753134674
31,32,cutoff_inter,0.7693421071463168
31,34,cutoff_intra,0.6845045323190165
31,40,k_inter,0.7060047462293508
31,58,k_intra,0.6643709018237021
32,35,cutoff_intra,0.6108198159586034
32,41,k_inter,0.6560222739834891
32,59,k_intra,0.7644395778877145
33,34,cutoff_inter,0.7369748439029855
33,42,k_inter,0.6981479127817165
33,60,k_intra,0.7998449420045143
34,35,cutoff_inter,0.838533326516043
34,43,k_inter,0.7615710942560726
34,61,k_intra,0.8298211697296812
35,44,k_inter,0.777580837819066
35,62,k_intra,0.721984789613928
36,37,cutoff_inter,0.7562406075375115
36,39,cutoff_intra,0.691799216252036
36,45,k_inter,0.7161276452934561
36,63,k_intra,0.6091858723129158
37,38,cutoff_inter,0.7618083342957294
37,40,cutoff_intra,0.810653952179135
37,46,k_inter,0.7663376378711866
37,64,k_intra,0.6960279447706923
38,41,cutoff_intra,0.923459234428162
38,47,k_inter,0.7393650449274439
38,65,k_intra,0.8771015857170178
39,40,cutoff_inter,0.7658416827325486
39,42,cutoff_intra,0.7761467538481455
39,48,k_inter,0.7586825410822259
39,66,k_intra,0.7264367559246262
40,41,cutoff_inter,0.7994826456608998
40,43,cutoff_intra,0.7362724178991974
40,49,k_inter,0.7695001267274699
40,67,k_intra,0.7747507385089302
41,44,cutoff_intra,0.7673684712125628
41,50,k_inter,0.8118985177877974
41,68,k_intra,0.8208275949012261
42,43,cutoff_inter,0.8340773151289936
42,51,k_inter,0.7225867670491395
42,69,k_intra,0.7725499655544109
43,44,cutoff_inter,0.801039601730912
43,52,k_inter,0.7723858425144092
43,70,k_intra,0.8333247978406648
44,53,k_inter,0.8119437566702119
44,71,k_intra,0.7120420673719725
45,46,cutoff_inter,0.917709788572914
45,48,cutoff_intra,0.9409504690570827
45,72,k_intra,0.7999025645931552
46,47,cutoff_inter,0.6974676301397833
46,49,cutoff_intra,0.9368489508837535
46,73,k_intra,0.7208541224470438
47,50,cutoff_intra,0.7677333766974475
47,74,k_intra,0.721256536984409
48,49,cutoff_inter,0.9237508891749351
48,51,cutoff_intra,0.7986296615318765
48,75,k_intra,0.79507893717223
49,50,cutoff_inter,0.7028388131791192
49,52,cutoff_intra,0.7134998216337028
49,76,k_intra,0.7541254333325216
50,53,cutoff_intra,0.8125342845185024
50,77,k_intra,0.7289555608748401
51,52,cutoff_inter,0.669056763597117
51,78,k_intra,0.7066069513607148
52,53,cutoff_inter,0.7156910485724655
52,79,k_intra,0.7836563371164559
53,80,k_intra,0.7906906016549727
54,55,cutoff_inter,0.8342667562755676
54,57,cutoff_intra,0.7252474256664366
54,63,k_inter,0.5900642131673561
55,56,cutoff_inter,0.7933158130004705
55,58,cutoff_intra,0.8178631780822362
55,64,k_inter,0.6876612117417015
56,59,cutoff_intra,0.7226108276154674
56,65,k_inter,0.6623108313872595
57,58,cutoff_inter,0.9356477425022828
57,60,cutoff_intra,0.8402914393474206
57,66,k_inter,0.764104614847564
58,59,cutoff_inter,0.8616769249185392
58,61,cutoff_intra,0.760799584047591
58,67,k_inter,0.7115713354472908
59,62,cutoff_intra,0.7828536439008944
59,68,k_inter,0.7052338925508858
60,61,cutoff_inter,0.8030503966405769
60,69,k_inter,0.7419478681428308
61,62,cutoff_inter,0.7705473346880531
61,70,k_inter,0.7973780564095844
62,71,k_inter,0.7900931129571319
63,64,cutoff_inter,0.9574163601817478
63,66,cutoff_intra,0.8279925043995967
63,72,k_inter,0.7388694615670393
64,65,cutoff_inter,0.7694462932823856
64,67,cutoff_intra,0.7380860942124091
64,73,k_inter,0.7726226109304212
65,68,cutoff_intra,0.767889186164867
65,74,k_inter,0.8647564244939387
66,67,cutoff_inter,0.757642384534801
66,69,cutoff_intra,0.8382805273301787
66,75,k_inter,0.7725889664853595
67,68,cutoff_inter,0.744801913370787
67,70,cutoff_intra,0.6713014407709623
67,76,k_inter,0.7702082493467897
68,71,cutoff_intra,0.795247236991203
68,77,k_inter,0.731875382265126
69,70,cutoff_inter,0.7949532761852968
69,78,k_inter,0.7685037249806757
70,71,cutoff_inter,0.7833185457220062
70,79,k_inter,0.78409467274263
71,80,k_inter,0.6688101653499353
72,73,cutoff_inter,0.8711574356815343
72,75,cutoff_intra,0.9415999472162435
73,74,cutoff_inter,0.8822739379366109
73,76,cutoff_intra,0.8145129233150914
74,77,cutoff_intra,0.733056910404797
75,76,cutoff_inter,0.894174755821809
75,78,cutoff_intra,0.7195587724573611
76,77,cutoff_inter,0.7564387407563574
76,79,cutoff_intra,0.69574040013958
77,80,cutoff_intra,0.636046019328677
78,79,cutoff_inter,0.7693601188591525
79,80,cutoff_inter,0.7087270801081949
