gene,species
mouse:Aldh1l1,mouse
mouse:Sox12,mouse
mouse:Camkv,mouse
mouse:Tst,mouse
mouse:Rps11,mouse
mouse:Bsg,mouse
mouse:Hs6st3,mouse
mouse:Map9,mouse
mouse:Rbfox1,mouse
mouse:Hba-x,mouse
mouse:Abca1,mouse
mouse:Abcb6,mouse
mouse:Abhd17a,mouse
mouse:Abi3bp,mouse
mouse:Soat2,mouse
mouse:Atp2a1,mouse
mouse:Asic2,mouse
mouse:Asic1,mouse
mouse:Furin,mouse
mouse:Macf1,mouse
mouse:Chrna1,mouse
mouse:Chrng,mouse
mouse:Pgm5,mouse
mouse:Acin1,mouse
mouse:Acly,mouse
mouse:Acp5,mouse
mouse:Acsl1,mouse
mouse:Acss1,mouse
mouse:Actc1,mouse
mouse:Acta1,mouse
mouse:Actg1,mouse
mouse:Actb,mouse
mouse:Actn2,mouse
mouse:Actr1a,mouse
mouse:Actr2,mouse
mouse:Acvr2a,mouse
mouse:Adam12,mouse
mouse:Adamts15,mouse
mouse:Adamts2,mouse
mouse:Thsd4,mouse
mouse:Add3,mouse
mouse:Adgrl2,mouse
mouse:Adh5,mouse
mouse:Adipor1,mouse
mouse:Adnp,mouse
mouse:Slc4a1,mouse
mouse:Aebp1,mouse
mouse:Ctnna1,mouse
mouse:Afap1l1,mouse
mouse:Apoa2,mouse
mouse:Gatm,mouse
mouse:Acan,mouse
mouse:Agl,mouse
mouse:Ago1,mouse
mouse:Agrp,mouse
mouse:Aplnr,mouse
mouse:Agxt,mouse
mouse:Ahsg,mouse
mouse:Aimp1,mouse
mouse:Akap12,mouse
mouse:Akap13,mouse
mouse:Hsp90aa1,mouse
mouse:Akr1a1,mouse
mouse:Efna5,mouse
mouse:Alas2,mouse
mouse:Alas1,mouse
mouse:Alcam,mouse
mouse:Aldh2,mouse
mouse:Cops2,mouse
mouse:Tgfbr1,mouse
mouse:Alpl,mouse
mouse:Pdlim3,mouse
mouse:Col1a1,mouse
mouse:Col1a2,mouse
mouse:Sptan1,mouse
mouse:Alx4,mouse
mouse:Ambp,mouse
mouse:Dcaf7,mouse
mouse:Angptl1,mouse
mouse:Angptl2,mouse
mouse:Ank1,mouse
mouse:Ank2,mouse
mouse:Ank3,mouse
mouse:Ankrd10,mouse
mouse:Ankrd46,mouse
mouse:Nusap1,mouse
mouse:Serpinc1,mouse
mouse:Antxr1,mouse
mouse:Anxa5,mouse
mouse:Kdm1a,mouse
mouse:Tfap2b,mouse
mouse:Ap2m1,mouse
mouse:Apbb2,mouse
mouse:Speg,mouse
mouse:Api5,mouse
mouse:Aplp1,mouse
mouse:Apobec2,mouse
mouse:Apoa1,mouse
mouse:Apoa4,mouse
mouse:Apob,mouse
mouse:Apod,mouse
mouse:Apoe,mouse
mouse:Lrp8,mouse
mouse:App,mouse
mouse:Nae1,mouse
mouse:Aqp3,mouse
mouse:Arcn1,mouse
mouse:Arf1,mouse
mouse:Arf3,mouse
mouse:Arglu1,mouse
mouse:Sorbs2,mouse
mouse:Rhoa,mouse
mouse:Rnd3,mouse
mouse:Arhgap35,mouse
mouse:Arhgap36,mouse
mouse:Arhgef2,mouse
mouse:Arhgef7,mouse
mouse:Arhgef9,mouse
mouse:Rnd2,mouse
mouse:Tomm20,mouse
mouse:Phox2a,mouse
mouse:Arl15,mouse
mouse:Arl3,mouse
mouse:Arl4a,mouse
mouse:Arl6ip5,mouse
mouse:Arl5b,mouse
mouse:Arnt2,mouse
mouse:Ddc,mouse
mouse:Arpc5,mouse
mouse:Arpc5l,mouse
mouse:Arpp19,mouse
mouse:Arrb2,mouse
mouse:Arrb1,mouse
mouse:Arrdc3,mouse
mouse:Arx,mouse
mouse:Asf1a,mouse
mouse:Asgr1,mouse
