name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
RPL13A,1,410,231.32051660000002,33.70899313063161,0.3960045321724611,0.8830089569091797
EEF1A1,1,422,238.12546530999995,33.34591776013153,0.3763888732537065,0.8954364061355591
RPS23,1,411,229.92830286999984,31.342956691302728,0.39291436709987543,0.8755593299865723
RPS2,1,419,235.52167177000015,30.830386065121715,0.37981751949846415,0.8115218281745911
RPL10,1,429,239.50102442999997,30.738002226688064,0.3486046663616757,0.8782988786697388
RPS14,1,407,227.98765399999994,30.513774323159154,0.4000798828385035,0.9074249267578125
RPL32,1,393,219.89016643,29.427167181690898,0.4244041127901542,0.8395060300827026
RPL27A,1,390,218.9528023400001,29.40705933273036,0.42379539911673586,0.7224980592727661
RPL26,1,370,210.82001466,29.395109231854732,0.46395663956639566,0.8425950407981873
RPS8,1,378,211.9288746300001,29.019844652465327,0.4493986218124149,0.859555721282959
RPS27,1,389,216.12706685000026,28.98596815851888,0.42077226830625714,0.8343724012374878
RPS6,1,389,217.97176912,28.47455327044914,0.4303129886306416,0.8443385362625122
RPS19,1,392,218.03727452999996,28.408656427813295,0.4153400490631035,0.852450430393219
RPS15A,1,397,222.01890781000003,28.31508717858139,0.3851487163829733,0.8589206337928772
RPL35A,1,395,219.86676470999984,28.309455884519796,0.41332647947053913,0.9159991145133972
RPL31,1,357,202.63238082000018,28.20560755989799,0.47691436125011805,0.8202869892120361
RPL11,1,390,218.1550272599997,28.17640408511995,0.4299914310197087,0.9067314267158508
RPL34,1,394,218.1557671200001,28.105853511337905,0.40748634091525554,0.8313871622085571
RPS12,1,376,209.4018835500001,27.66115464221366,0.44141843971631206,0.8240708708763123
RPLP0,1,408,226.62911454999985,27.334046231036577,0.39293973117502534,0.9060481786727905
RPL13,1,351,198.94663966000002,27.270648875478376,0.4933496133496133,0.8376963138580322
RPL37,1,356,199.31941897000007,26.64424078559724,0.4845703434087672,0.8816609382629395
RPS3A,1,346,197.5328740199998,26.634637886494644,0.5108486219318087,0.8430041074752808
RPLP1,1,384,212.84760019000012,26.633565138971495,0.42429558311575283,0.6912880539894104
RPS15,1,394,218.68082217000008,26.61163840958704,0.4198989938130481,0.9053446650505066
RPS27A,1,383,211.86363095,26.498080903975683,0.4390934069689555,0.8612667322158813
RPL29,1,400,222.70661281,26.15358077187023,0.4122556390977444,0.7802388072013855
AC004086.1,1,367,207.97753290999978,26.02337556329486,0.46982623844195287,0.8350515365600586
RPS24,1,355,199.54930648000004,26.01087215340367,0.4936579931566802,0.8973536491394043
RPL17-C18orf32,1,348,197.4228798999999,25.77459527176303,0.5031468415648084,0.8431284427642822
RPL7,1,385,213.56557577999993,25.598251904379858,0.4309929653679654,0.9137476086616516
RPS13,1,368,205.86402612999993,25.359820241853853,0.4689165975595308,0.9054029583930969
RPS28,1,384,212.90239143999995,24.96282151243196,0.41693864229765015,0.7588340044021606
RPS16,1,356,199.82184549999988,24.897334518149524,0.49052065200189904,0.8265966176986694
RPL10A,1,359,200.91525357999993,24.487239063784287,0.4851309503431319,0.9071341753005981
RPL21,1,340,192.81687478999996,24.317186151921234,0.5118167621030713,0.8094281554222107
RPL35,1,364,204.51027597999996,24.307597250429527,0.46565555656464747,0.666332483291626
RPL18A,1,367,205.70814086000016,24.2632998868953,0.4689626420094996,0.902454674243927
RPL19,1,377,208.54127708999994,24.10899795926795,0.45506236243580334,0.8541550040245056
RPL27,1,378,208.41402409999984,24.085423052158912,0.4453145832456177,0.8602198362350464
RPL37A,1,320,182.29684914999999,24.01065442372901,0.5647139498432602,0.8858673572540283
RPS7,1,380,210.21869449999974,23.832932483370577,0.4401888626579642,0.9375305771827698
RPL28,1,361,200.12600982999996,23.70271652548878,0.4719144352108341,0.828819215297699
RPL15,1,383,210.06468895000017,23.695124035196113,0.4302215903653986,0.9227855801582336
RPL12,1,345,194.14059082000003,23.44853272988813,0.5003370407819346,0.6939908266067505
RPL23A,1,353,197.61019873,23.261697538247432,0.49568632500643833,0.8719873428344727
RPL24,1,350,195.50205969000004,23.188176099299564,0.5064756446991404,0.8736949563026428
RPS4X,1,355,197.72832817000003,23.14619802224326,0.4957269037956553,0.9232490062713623
RPL39,1,361,198.44797498999995,22.679896965247732,0.4705755617112958,0.8136910200119019
RPS3,1,352,195.17469368999997,22.32270435140775,0.4976851851851852,0.8294683694839478
RPL18,1,362,199.74237315000002,22.239936361294305,0.4815353300378017,0.8817474246025085
AC135178.2,1,329,186.20905249000006,21.756978162086252,0.5422566535695752,0.8332557678222656
RPL30,1,351,193.34245391000007,21.703015996474225,0.48096052096052094,0.8726233839988708
RPLP2,1,340,187.10085700000002,21.313559606576614,0.5072011105327087,0.706305980682373
RPS5,1,365,201.1406822,21.198804181350233,0.46929098298961314,0.937091588973999
RPL36A,1,333,185.17593214000004,20.857164241874223,0.5405043597814682,0.9280673265457153
RPL9,1,315,175.81598778000017,20.754922102321693,0.5672429481346679,0.9414123892784119
RPL5,1,314,176.88636958000006,20.428969463120847,0.5729635131560205,0.8334862589836121
RPL3,1,338,186.78710443999995,20.293745176495104,0.5246606851263322,0.8141844272613525
RPSA,1,356,195.65753976000013,19.93366915340126,0.48396898243392944,0.8464584946632385
RACK1,1,327,182.31773449000005,19.354898254130767,0.5436483368041874,0.7198185920715332
RPL4,1,324,180.74061480999993,18.773083285129932,0.5529373542789435,0.819298267364502
RPL14,1,322,178.93090361000003,18.28986079842159,0.5582515818192373,0.8615753054618835
RPS20,1,286,160.69819062999994,18.15611095065101,0.6119985277880015,0.8716745376586914
RPS11,1,310,169.97846230000002,17.397972329472374,0.540453074433657,0.8132027387619019
RPL8,1,332,182.04184548999996,17.098935857505037,0.5390019291668183,0.7896007299423218
RPL41,1,313,172.71717366000004,17.04621771972086,0.5790120422708283,0.9381824731826782
TPT1,1,316,172.91684020000002,16.991176770169965,0.507574844283705,0.6577100157737732
RPS10-NUDT3,1,313,172.35440199000007,16.84969511155815,0.579401163266978,0.9461632966995239
AP001324.1,1,296,163.7426234099999,16.69590838116257,0.6082455336692625,0.9150092005729675
RPL36,1,289,162.70155673000002,16.692011132618767,0.6123366013071895,0.7842444777488708
EEF1G,1,330,179.9558028300001,16.098858474942762,0.5446992723588469,0.9235906600952148
RPS10,1,287,158.8734754600001,15.997640767702258,0.6389220535561999,0.956040620803833
RPL38,1,280,151.66302596000008,13.028522769002445,0.6496927803379416,0.8620837926864624
RPL23,1,244,134.15046127000008,11.84026602685908,0.7008365378128584,0.9391806721687317
