source,target,PCC,Rescaled_PCC
AC004967.2,AC004967.1,0.4019528,3.4476056e-08
AC006547.3,AC006547.1,0.536293,0.011721065
AC007969.1,AC004086.1,0.46998838,0.0015871715
AC010197.2,AC004086.1,0.45616686,0.0008203262
AC010422.8,AC010422.5,0.42886063,0.0001112919
AC010503.2,AC010503.1,0.51272774,0.0066319085
AC011481.3,AC002094.3,0.5800382,0.027017187
AC020915.5,AC020915.1,0.46967572,0.0015659955
AC027682.3,AC027682.2,0.65533525,0.077068776
AC084809.2,AC084809.1,0.41597864,1.8887093e-05
AC092143.1,AASDHPPT,0.41505557,1.5799289e-05
AC092143.1,AC003112.1,0.4454325,0.00043415657
AC092143.1,AC010894.3,0.43758035,0.00024571316
AC092143.1,AC091167.2,0.5857107,0.029652206
AC104389.5,AC002094.3,0.47710317,0.0021220853
AC104389.5,AC011481.3,0.49385503,0.0038275311
AC104389.5,AC104389.4,0.42949715,0.00011881907
AC109466.1,AC008415.1,0.40208954,4.223691e-08
AC113192.4,AC025154.2,0.4245817,6.8767295e-05
AC113192.4,AC090692.2,0.40227076,5.420743e-08
AC113192.4,AC113192.1,0.4772356,0.0021330372
AC135178.2,AC004086.1,0.5664976,0.021368314
AC135178.2,AC007969.1,0.4281806,0.00010360885
AC135178.2,AC073861.1,0.4310365,0.00013840898
AC135983.2,AC127502.1,0.50271237,0.0050166566
AC141557.1,AC092821.1,0.49709362,0.004237582
AC245595.1,AC239859.6,0.4617264,0.0010888268
ACAA2,AC231533.2,0.41814536,2.765938e-05
ACADSB,AC002094.3,0.43633074,0.00022200798
ACADSB,AC011481.3,0.43131474,0.00014216485
ACOT7,AC092143.1,0.5073551,0.0057281465
ACSL4,AC002094.3,0.44978148,0.0005711489
ACSL4,AC011481.3,0.44999486,0.00057852507
ACTA1,AC093899.2,0.6765401,0.097908504
ACTB,AC004086.1,0.48070413,0.0024335112
ACTB,AC010197.2,0.42705917,9.172537e-05
ACTB,AC091167.2,0.42062226,4.0602674e-05
ACTB,AC092143.1,0.47095007,0.0016535012
ACTC1,AC093899.2,0.6939819,0.11762724
ACTC1,ACTA1,0.8285231,0.36430818
ACTG1,AC004086.1,0.5621608,0.019741662
ACTG1,AC010197.2,0.47221076,0.001743219
ACTG1,AC010422.8,0.4006646,1.3589737e-09
ACTG1,AC010894.3,0.47156993,0.0016972185
ACTG1,AC091167.2,0.53112566,0.010437807
ACTG1,AC092143.1,0.65387374,0.075752944
ACTG1,ACOT7,0.40129575,1.0071755e-08
ACTG1,ACTB,0.664953,0.08610981
ACTG2,ACTA2,0.7284238,0.16400231
ACTL6B,AC092143.1,0.48738882,0.0030896817
ACTN2,AC093899.2,0.56267375,0.0199296
ACTN2,ACTA1,0.6578217,0.07934226
ACTN2,ACTC1,0.7038578,0.12988448
ACTR1A,AC092143.1,0.42396942,6.37556e-05
ACY1,ABHD14A-ACY1,0.5782842,0.026235225
ADH1A,AC002094.3,0.43415695,0.00018449448
ADH1A,AC011481.3,0.4270034,9.1159505e-05
AFP,A1BG,0.4518984,0.00064715435
AFP,A2M,0.4248581,7.1113056e-05
AFP,AC002094.3,0.7335769,0.17184386
AFP,AC011481.3,0.73292536,0.1708389
AFP,AC104389.5,0.678292,0.09978108
AFP,ACADSB,0.54656845,0.014576985
AFP,ACSL4,0.5665164,0.021375543
AFP,ADH1A,0.54720324,0.014767205
AGR3,AGR2,0.5044323,0.0052729165
AGT,AC002094.3,0.65966874,0.08105975
AGT,AC011481.3,0.6472259,0.069956504
AGT,AC104389.5,0.5424104,0.013371219
AGT,ACADSB,0.48322183,0.0026684427
AGT,ACSL4,0.5032284,0.005092653
AGT,ADH1A,0.48650548,0.0029969325
AGT,AFP,0.82306254,0.35055798
AHSG,A1BG,0.44189867,0.00034052331
AHSG,A2M,0.4303484,0.00012940561
AHSG,AC002094.3,0.731186,0.16817519
AHSG,AC011481.3,0.7246165,0.15836455
AHSG,AC104389.5,0.6193354,0.04885089
AHSG,ACADSB,0.5481302,0.015047942
AHSG,ACSL4,0.5692079,0.022428904
AHSG,ADH1A,0.5444718,0.0139603205
AHSG,AFP,0.9301017,0.68964195
AHSG,AGT,0.81724936,0.33630493
AHSP,A1BG,0.40241003,6.48053e-08
AHSP,AC002094.3,0.68320215,0.10515642
AHSP,AC011481.3,0.6752714,0.09656715
AHSP,AC068724.4,0.4031021,1.3820093e-07
AHSP,AC104389.5,0.6123448,0.044327274
AHSP,ACADSB,0.50922084,0.0060320185
AHSP,ACSL4,0.53121626,0.010459457
AHSP,ADH1A,0.5056952,0.0054665366
AHSP,AFP,0.8588428,0.44723722
AHSP,AGT,0.74608374,0.19190653
AHSP,AHSG,0.85441554,0.43441594
AKR1C1,AFP,0.46787935,0.0014479689
AKR1C1,AGT,0.42145348,4.5712914e-05
AKR1C1,AHSG,0.46892554,0.0015159557
AKR1C1,AHSP,0.43352208,0.00017439685
AL021707.7,AL021707.1,0.4212414,4.4370616e-05
AL109811.3,AL109811.2,0.44855127,0.0005298437
AL117190.1,ACTA1,0.42051476,3.9971022e-05
AL117190.1,ACTC1,0.44862387,0.000532224
AL117190.1,ACTN2,0.40257645,7.9178385e-08
AL122020.1,AC004086.1,0.43571126,0.00021084421
AL122020.1,AC073861.1,0.45743325,0.0008770741
AL122020.1,AC135178.2,0.47783875,0.002183402
AL133352.1,AC092143.1,0.42290255,5.5615725e-05
AL133352.1,ACTG1,0.40004647,4.643387e-13
AL137802.3,AL137802.1,0.54498273,0.01410896
AL162231.4,AL162231.1,0.55741006,0.018056916
AL353898.1,AC010095.1,0.40966764,4.1831836e-06
AL445524.2,AL445524.1,0.55785996,0.018212186
AL591846.1,AL365357.1,0.42426848,6.617193e-05
ALAS2,AC002094.3,0.48915708,0.0032810562
ALAS2,AC011481.3,0.47726023,0.00213508
ALAS2,AC104389.5,0.6024831,0.038433727
ALAS2,AFP,0.60762775,0.041438345
ALAS2,AGT,0.53111076,0.010434248
ALAS2,AHSG,0.6080287,0.04167888
ALAS2,AHSP,0.6589616,0.08039929
ALB,A1BG,0.4467359,0.0004726042
ALB,A2M,0.41940406,3.382389e-05
ALB,AC002094.3,0.7061235,0.1328116
ALB,AC011481.3,0.71567804,0.14563952
ALB,AC104389.5,0.697678,0.12211992
ALB,ACADSB,0.5233973,0.008698881
ALB,ACSL4,0.546771,0.014637497
ALB,ADH1A,0.5310273,0.010414339
ALB,AFP,0.9567652,0.7990289
ALB,AGT,0.80593604,0.3096842
ALB,AHSG,0.9077006,0.6058556
ALB,AHSP,0.8247864,0.35486084
ALB,AKR1C1,0.4563947,0.0008303495
ALB,ALAS2,0.5792225,0.02665163
ALDOB,AC002094.3,0.593289,0.033432413
ALDOB,AC011481.3,0.5788433,0.026482813
ALDOB,AC104389.5,0.49298024,0.003721501
ALDOB,ACADSB,0.43469515,0.00019335368
ALDOB,ACSL4,0.4474043,0.00049317285
ALDOB,ADH1A,0.43449703,0.00019006013
ALDOB,AFP,0.7430762,0.18694675
ALDOB,AGT,0.65894437,0.080383256
ALDOB,AHSG,0.73115325,0.16812535
