source,target,PCC,Rescaled_PCC
Eif5a,H2afy,0.40405056,4.557494e-05
Reep1,Atp6v1e1,0.4255355,0.0018112817
Reep1,Mir124a-1hg,0.4338718,0.003186941
Reep1,Cacng2,0.44554275,0.005761505
Reep1,Ndufa5,0.4970616,0.026169317
Reep1,Dalrd3,0.41851684,0.00095242576
Reep1,St8sia3,0.4354423,0.0034893225
Dynll2,Atp6v1e1,0.42641494,0.0019381904
Dynll2,Mir124a-1hg,0.4330824,0.0030401247
Dynll2,Cacng2,0.45565778,0.008604966
Dynll2,Ndufa5,0.4697192,0.013502127
Dynll2,Dalrd3,0.4620744,0.010703417
Dynll2,St8sia3,0.43017927,0.0025299662
Dynll2,Reep1,0.5606582,0.071697384
Zfp422,H2afy,0.40005192,7.486761e-09
Pgam2,Fgf6,0.40687057,0.00013112416
Pgam2,Myoz1,0.61948484,0.13381553
Gabarapl2,Mir124a-1hg,0.4166209,0.0007673735
Gabarapl2,Dynll2,0.40029243,2.3752689e-07
Chn1,Ndufa5,0.40251598,1.7583647e-05
Chn1,Reep1,0.49400663,0.024547905
Chn1,Dynll2,0.45003733,0.006954816
Rplp0,H2afy,0.519579,0.039719816
Rplp0,Crot,0.4089207,0.00022105243
Rplp0,Eif5a,0.6011084,0.11234604
Rplp0,Eif3g,0.47074696,0.013903144
Rplp0,Zfp422,0.42703387,0.0020300827
Ugp2,Pgam2,0.4037172,3.838182e-05
Mirg,Myoz1,0.4719496,0.014379847
Mirg,Pgam2,0.61788154,0.13186766
Ermap,Rhag,0.66422856,0.19393533
Arfgef3,Reep1,0.4263165,0.0019237718
Mef2d,Pgam2,0.4193844,0.001043762
Elovl4,Fgfbp1,0.5013346,0.02852417
D430041D05Rik,Reep1,0.4355907,0.0035186068
Tecr,Ndufa5,0.46028885,0.010096513
Tecr,Dalrd3,0.42638087,0.0019331948
Tecr,Reep1,0.4907807,0.022892045
Tecr,Dynll2,0.4923073,0.023668434
Tecr,Chn1,0.40241754,1.6234648e-05
Micu3,Dynll2,0.4051503,7.368186e-05
Fam57b,Atp6v1e1,0.41864514,0.0009656698
Fam57b,Mir124a-1hg,0.4516259,0.0074034287
Fam57b,Cacng2,0.43509138,0.0034205674
Fam57b,Ndufa5,0.44674796,0.006070475
Fam57b,Dalrd3,0.41217157,0.00041151952
Fam57b,St8sia3,0.42611074,0.0018938072
Fam57b,Reep1,0.5493736,0.061979104
Fam57b,Dynll2,0.53391516,0.04981463
Fam57b,Chn1,0.4522542,0.0075847255
Fam57b,Tecr,0.45652807,0.008876171
Cpox,Marc1,0.41470292,0.0006004881
Cpox,Rhag,0.71832377,0.28147224
Cpox,Ermap,0.8044206,0.45432225
Sbk1,Atp6v1e1,0.45618278,0.008768066
Sbk1,Mir124a-1hg,0.60399145,0.1155903
Sbk1,Cbr1,0.4082819,0.00019052679
Sbk1,H2afy,0.41183847,0.00038930355
Sbk1,Cacng2,0.43979403,0.00439879
Sbk1,Ndufa5,0.42182156,0.0013227233
Sbk1,Dalrd3,0.43876067,0.004173302
Sbk1,St8sia3,0.47145355,0.014182245
Sbk1,Reep1,0.5139585,0.036073726
Sbk1,Dynll2,0.5514106,0.063681036
Sbk1,Rasgef1b,0.4426626,0.005055824
Sbk1,Gabarapl2,0.5154443,0.037020497
Sbk1,Chn1,0.5229484,0.04198973
Sbk1,D430041D05Rik,0.42751187,0.0021025075
Sbk1,Tecr,0.4294977,0.0024169812
Sbk1,Fam57b,0.53287035,0.049040355
Gap43,Atp6v1e1,0.51883334,0.039226
Gap43,Mir124a-1hg,0.4888826,0.021944767
Gap43,Cacng2,0.5339148,0.049814366
Gap43,Ndufa5,0.48825824,0.021637542
Gap43,Dalrd3,0.5171979,0.03815374
Gap43,St8sia3,0.5253771,0.043665033
Gap43,Reep1,0.67774963,0.21429124
Gap43,Dynll2,0.650289,0.17401269
Gap43,Gabarapl2,0.49656275,0.02590101
Gap43,Chn1,0.5246303,0.04314642
Gap43,Arfgef3,0.55732584,0.068753935
Gap43,D430041D05Rik,0.48760682,0.021319315
Gap43,Tecr,0.5714235,0.081627786
Gap43,Micu3,0.5007683,0.028206248
Gap43,Fam57b,0.623189,0.1383703
Gap43,Sbk1,0.586414,0.09652825
Hist3h2a,Mir124a-1hg,0.45738667,0.009147858
Hist3h2a,Gabarapl2,0.40972313,0.00026260884
Hist3h2a,Sbk1,0.57923144,0.08923307
Rpl31,Rplp0,0.47941807,0.01752008
Gm45341,Gap43,0.4627929,0.010952633
Ubb,Atp6v1e1,0.45254275,0.0076687224
Ubb,Mir124a-1hg,0.49670172,0.025975613
Ubb,Cbr1,0.44608092,0.0058984742
Ubb,H2afy,0.4496052,0.006835208
Ubb,Ndufa5,0.4512223,0.00728812
Ubb,Dalrd3,0.4195373,0.0010602947
Ubb,Reep1,0.44443277,0.0054840837
Ubb,Dynll2,0.4764849,0.016249828
