source,target,PCC,Rescaled_PCC
A1CF,A1BG,0.4243305,6.668055e-05
AC002094.3,A1BG,0.60275453,0.0385885
AC002094.3,A1CF,0.56701547,0.021568315
AC002094.3,A2M,0.48519287,0.002862568
AC002094.3,ABCB10,0.5032448,0.0050950786
AC004086.1,ABLIM3,0.44099274,0.00031890918
AC005943.1,AC004086.1,0.65241635,0.074455805
AC006453.2,AC004086.1,0.5532473,0.016661895
AC007969.1,AC004086.1,0.71814793,0.14908482
AC007969.1,AC005943.1,0.50525,0.005397743
AC007969.1,AC006453.2,0.41959321,3.4822737e-05
AC008038.1,AC004086.1,0.52415323,0.008859726
AC009779.3,AC004086.1,0.47000647,0.0015884023
AC009779.3,AC005943.1,0.41770893,2.5711235e-05
AC010132.3,AC004086.1,0.5275959,0.009617364
AC010132.3,AC005943.1,0.47502428,0.001955022
AC010132.3,AC007969.1,0.4011729,7.47015e-09
AC010197.2,AC004086.1,0.63124454,0.057248037
AC010197.2,AC005943.1,0.50743634,0.005741161
AC010197.2,AC007969.1,0.47599727,0.0020320767
AC010197.2,AC010132.3,0.45620185,0.0008218603
AC010422.8,AC004086.1,0.5226622,0.008544342
AC010422.8,AC005943.1,0.5100845,0.0061762487
AC010422.8,AC007969.1,0.40833685,2.682569e-06
AC010422.8,AC010132.3,0.40933123,3.7615112e-06
AC010422.8,AC010197.2,0.4363212,0.00022183318
AC011481.3,A1BG,0.49430275,0.003882569
AC011481.3,A1CF,0.46049228,0.0010248162
AC011481.3,A2M,0.41527548,1.6501774e-05
AC011481.3,ABCB10,0.41185996,7.723162e-06
AC011481.3,AC002094.3,0.66405195,0.08523428
AC011603.2,AC006064.4,0.5471891,0.014762954
AC016739.1,AC004086.1,0.60807747,0.041708194
AC016739.1,AC005943.1,0.4407248,0.0003126962
AC016739.1,AC007969.1,0.47433183,0.0019013869
AC018512.1,AC006064.4,0.4918747,0.003590326
AC018512.1,AC011603.2,0.5144162,0.0069343997
AC022413.2,AC011824.2,0.4604712,0.0010237456
AC024267.1,AC002094.3,0.45791405,0.00089928636
AC024293.1,AC004086.1,0.46893513,0.0015165891
AC024592.3,AC004086.1,0.63153565,0.057464518
AC024592.3,AC005943.1,0.563549,0.020253012
AC024592.3,AC007969.1,0.48285493,0.002633305
AC024592.3,AC010132.3,0.4490475,0.00054625684
AC024592.3,AC010197.2,0.49928078,0.004530453
AC024592.3,AC010422.8,0.45186642,0.0006459589
AC024592.3,AC016739.1,0.4081184,2.4771716e-06
AC034102.6,AC011603.2,0.4109567,6.0895622e-06
AC068631.1,AC006064.4,0.44944215,0.0005595489
AC068631.1,AC011603.2,0.4757969,0.0020160468
AC068631.1,AC018512.1,0.42636004,8.479772e-05
AC068724.4,AC002094.3,0.51261926,0.0066127796
AC073861.1,AC004086.1,0.72163266,0.15403752
AC073861.1,AC005943.1,0.47286907,0.0017913308
AC073861.1,AC006453.2,0.45793754,0.0009003807
AC073861.1,AC007969.1,0.55732286,0.018026922
AC073861.1,AC010197.2,0.42701992,9.132681e-05
AC073861.1,AC016739.1,0.48465306,0.0028084973
AC073861.1,AC024592.3,0.4631404,0.0011653812
AC074138.1,AC008080.4,0.4388275,0.00027099714
AC079922.1,AC004086.1,0.5465407,0.014568698
AC079922.1,AC007969.1,0.43058637,0.0001324737
AC079922.1,AC073861.1,0.45281315,0.00068198104
AC087457.1,AC006064.4,0.53888977,0.012403861
AC087457.1,AC011603.2,0.5723203,0.023689471
AC087457.1,AC018512.1,0.5125421,0.0065992037
AC087457.1,AC034102.6,0.40514225,6.295116e-07
AC087457.1,AC068631.1,0.4709643,0.0016544975
AC090498.1,AC004086.1,0.46271527,0.0011419995
AC092143.1,AC003112.1,0.48250103,0.002599706
AC092143.1,AC004158.1,0.5221324,0.0084341
AC092143.1,AC010729.2,0.40838227,2.7266517e-06
AC092143.1,AC091167.2,0.49984387,0.0046079764
AC093484.3,AC006064.4,0.43436268,0.0001878482
AC093484.3,AC011603.2,0.4429777,0.00036751528
AC093484.3,AC018512.1,0.4026314,8.4353836e-08
AC093484.3,AC087457.1,0.439526,0.00028588693
AC093512.2,AC004086.1,0.68579763,0.1080742
AC093512.2,AC005943.1,0.52320707,0.008658706
AC093512.2,AC006453.2,0.49785432,0.004337967
AC093512.2,AC007969.1,0.51375866,0.0068155276
AC093512.2,AC010197.2,0.4200101,3.7093087e-05
AC093512.2,AC016739.1,0.44999582,0.00057855813
AC093512.2,AC020909.3,0.40730557,1.8051246e-06
AC093512.2,AC024592.3,0.48577872,0.0029220306
AC093512.2,AC073861.1,0.5576871,0.018152423
AC093512.2,AC079922.1,0.40354234,2.0578544e-07
AC093899.2,ABLIM3,0.46118394,0.0010603721
AC093899.2,AC004086.1,0.68961555,0.11246354
AC093899.2,AC006453.2,0.5612088,0.019396003
AC093899.2,AC007325.4,0.46359965,0.0011909958
AC093899.2,AC007969.1,0.49822724,0.004387751
AC093899.2,AC012651.1,0.41046014,5.298568e-06
AC093899.2,AC016739.1,0.4326532,0.0001611843
AC093899.2,AC020909.3,0.5329476,0.010878966
AC093899.2,AC073861.1,0.5869681,0.030258605
AC093899.2,AC079922.1,0.4394524,0.0002842933
AC093899.2,AC093512.2,0.6747543,0.09602399
AC099789.1,AC004086.1,0.5109937,0.0063305483
AC100778.3,AC006064.4,0.5552257,0.01731557
AC100778.3,AC011603.2,0.58150274,0.027681887
AC100778.3,AC018512.1,0.5224822,0.0085067805
AC100778.3,AC068631.1,0.46380052,0.0012023163
AC100778.3,AC087457.1,0.559787,0.018887319
AC100778.3,AC093484.3,0.4457739,0.00044401715
AC100835.2,AC002094.3,0.49383536,0.0038251253
AC104389.5,AC104389.4,0.7388122,0.18006249
AC106872.3,AC020910.5,0.4548177,0.00076262106
AC115619.1,AC002094.3,0.49323392,0.003752044
AC115619.1,AC011481.3,0.40117285,7.469013e-09
AC135178.2,ABLIM3,0.44071925,0.00031256853
AC135178.2,AC004086.1,0.9262391,0.6746762
AC135178.2,AC005943.1,0.6400285,0.064022765
AC135178.2,AC006453.2,0.5487276,0.015230726
AC135178.2,AC007969.1,0.71481043,0.14444199
AC135178.2,AC008038.1,0.51334363,0.006741204
AC135178.2,AC009779.3,0.45390385,0.0007251127
AC135178.2,AC010132.3,0.50615114,0.005537581
AC135178.2,AC010197.2,0.6080847,0.041712526
AC135178.2,AC010422.8,0.5020497,0.0049201814
AC135178.2,AC016739.1,0.6035572,0.039048627
AC135178.2,AC024293.1,0.46588713,0.0013241824
AC135178.2,AC024592.3,0.61651224,0.046988707
AC135178.2,AC073861.1,0.71950066,0.15099458
AC135178.2,AC079922.1,0.54811174,0.0150423115
AC135178.2,AC090498.1,0.46100393,0.0010510405
AC135178.2,AC093512.2,0.66736233,0.08848034
AC135178.2,AC093899.2,0.68441176,0.106509626
AC135178.2,AC099789.1,0.5019065,0.0048995027
AC135178.3,AC006064.4,0.40378413,2.508655e-07
AC135178.3,AC011603.2,0.4442231,0.00040039976
AC135178.3,AC087457.1,0.42835298,0.00010552179
AC135178.3,AC100778.3,0.43821415,0.0002583561
AC239859.6,AC006453.2,0.4334794,0.00017373163
AC245595.1,AC006453.2,0.41210908,8.2201295e-06
AC245595.1,AC239859.6,0.40105706,5.4681863e-09
ACAA1,AC002094.3,0.47150576,0.0016926579
ACAA1,AC011481.3,0.40059835,9.917288e-10
ACADSB,A1BG,0.52904654,0.009949131
ACADSB,A1CF,0.49111053,0.0035014823
ACADSB,A2M,0.41982457,3.6070916e-05
ACADSB,ABCB10,0.44052774,0.00030817903
ACADSB,AC002094.3,0.7152472,0.14504403
ACADSB,AC011481.3,0.5737939,0.024302427
ACADSB,AC024267.1,0.40550286,7.714525e-07
ACADSB,AC068724.4,0.43217084,0.00015414628
ACADSB,AC100835.2,0.4244343,6.7537636e-05
ACADSB,AC115619.1,0.42937827,0.000117388256
ACADSB,ACAA1,0.41335145,1.1018705e-05
ACOT7,AC092143.1,0.41999245,3.699505e-05
ACSL4,A1BG,0.5710282,0.023160564
ACSL4,A1CF,0.5340822,0.011159874
ACSL4,A2M,0.44268575,0.0003600766
ACSL4,ABCB10,0.47502008,0.0019546936
ACSL4,AC002094.3,0.77022827,0.23493887
ACSL4,AC011481.3,0.6312529,0.05725424
ACSL4,AC024267.1,0.42862797,0.00010862193
ACSL4,AC068724.4,0.46879056,0.0015070672
ACSL4,AC100835.2,0.45793834,0.0009004182
ACSL4,AC115619.1,0.46205473,0.0011062945
ACSL4,ACAA1,0.44142562,0.00032911912
ACSL4,ACADSB,0.67160934,0.09276417
ACSS2,AC002094.3,0.48897004,0.00326045
ACSS2,AC011481.3,0.41094768,6.0745183e-06
ACSS2,ACADSB,0.41963512,3.5046636e-05
ACSS2,ACSL4,0.45242974,0.00066723564
ACTA1,ABLIM3,0.4461593,0.00045532742
ACTA1,AC004086.1,0.68014634,0.10178904
ACTA1,AC006453.2,0.58821994,0.030870454
