source,target,PCC,Rescaled_PCC
Eif5a,H2afy,0.40401003,2.9852887e-07
Reep1,Atp6v1e1,0.42551866,7.693422e-05
Reep1,Mir124a-1hg,0.43386585,0.00017981739
Reep1,Cacng2,0.44553807,0.0004371898
Reep1,Ndufa5,0.49704707,0.0042314907
Reep1,Dalrd3,0.4185069,2.934581e-05
Reep1,St8sia3,0.43543905,0.00020605928
Dynll2,Atp6v1e1,0.4263935,8.5121115e-05
Dynll2,Mir124a-1hg,0.43306977,0.00016743231
Dynll2,Cacng2,0.45564908,0.00079784764
Dynll2,Ndufa5,0.46970004,0.0015676358
Dynll2,Dalrd3,0.46205917,0.0011065318
Dynll2,St8sia3,0.43017253,0.00012716898
Dynll2,Reep1,0.5606507,0.019195262
Zfp422,H2afy,0.40001974,3.5552524e-14
Pgam2,Fgf6,0.40686062,1.4949791e-06
Pgam2,Myoz1,0.6194779,0.048946176
Gabarapl2,Mir124a-1hg,0.4166103,2.1216716e-05
Gabarapl2,Dynll2,0.40027928,1.00845e-10
Chn1,Ndufa5,0.40249312,7.17418e-08
Chn1,Reep1,0.4939976,0.003845001
Chn1,Dynll2,0.45002204,0.00057946914
Rplp0,H2afy,0.5195449,0.007909322
Rplp0,Crot,0.40888473,3.2469723e-06
Rplp0,Eif5a,0.60106504,0.03763187
Rplp0,Eif3g,0.470704,0.0016363562
Rplp0,Zfp422,0.4269985,9.1109716e-05
Ugp2,Pgam2,0.40369558,2.336647e-07
Mirg,Myoz1,0.4719391,0.0017236172
Mirg,Pgam2,0.61787033,0.04787849
Ermap,Rhag,0.6642205,0.085397616
Arfgef3,Reep1,0.42630848,8.4301115e-05
Mef2d,Pgam2,0.41936186,3.360369e-05
Elovl4,Fgfbp1,0.5013595,0.00482103
D430041D05Rik,Reep1,0.4355815,0.00020855421
Tecr,Ndufa5,0.46026498,0.0010133071
Tecr,Dalrd3,0.4263601,8.479829e-05
Tecr,Reep1,0.49076936,0.003462294
Tecr,Dynll2,0.49229062,0.0036393078
Tecr,Chn1,0.4023984,6.387219e-08
Micu3,Dynll2,0.4051363,6.27325e-07
Fam57b,Atp6v1e1,0.4186253,2.9912677e-05
Fam57b,Mir124a-1hg,0.45161515,0.0006366163
Fam57b,Cacng2,0.43508387,0.00019992556
Fam57b,Ndufa5,0.44673333,0.0004725264
Fam57b,Dalrd3,0.4121605,8.325271e-06
Fam57b,St8sia3,0.42610443,8.235471e-05
Fam57b,Reep1,0.54936546,0.015427541
Fam57b,Dynll2,0.5339022,0.011115001
Fam57b,Chn1,0.45224142,0.0006600715
Fam57b,Tecr,0.45651382,0.0008356224
Cpox,Marc1,0.41469595,1.4693948e-05
Cpox,Rhag,0.7183173,0.149323
Cpox,Ermap,0.80441445,0.30621478
Sbk1,Atp6v1e1,0.45616257,0.0008201382
Sbk1,Mir124a-1hg,0.6039763,0.039290298
Sbk1,Cbr1,0.40826485,2.6136624e-06
Sbk1,H2afy,0.41181424,7.634195e-06
Sbk1,Cacng2,0.43979323,0.00029172492
Sbk1,Ndufa5,0.42180645,4.8006616e-05
Sbk1,Dalrd3,0.4387483,0.0002693419
Sbk1,St8sia3,0.47144717,0.0016885004
Sbk1,Reep1,0.5139556,0.006850986
Sbk1,Dynll2,0.5513999,0.016066559
Sbk1,Rasgef1b,0.4426504,0.00035918283
Sbk1,Gabarapl2,0.51543325,0.0071209655
Sbk1,Chn1,0.5229374,0.008601979
Sbk1,D430041D05Rik,0.42750588,9.6343545e-05
Sbk1,Tecr,0.42948347,0.00011865384
Sbk1,Fam57b,0.53286266,0.010858129
Gap43,Atp6v1e1,0.5188196,0.0077662272
Gap43,Mir124a-1hg,0.48887455,0.0032499635
Gap43,Cacng2,0.53391045,0.0111170495
Gap43,Ndufa5,0.4882508,0.003182013
Gap43,Dalrd3,0.5171891,0.007450881
Gap43,St8sia3,0.5253745,0.009123752
Gap43,Reep1,0.67774814,0.09919725
Gap43,Dynll2,0.65028167,0.072582714
Gap43,Gabarapl2,0.49656138,0.0041682757
Gap43,Chn1,0.52462757,0.00896166
Gap43,Arfgef3,0.55731905,0.018025612
Gap43,D430041D05Rik,0.4876017,0.003112316
Gap43,Tecr,0.5714137,0.02331754
Gap43,Micu3,0.5007586,0.0047357883
Gap43,Fam57b,0.623183,0.051467087
Gap43,Sbk1,0.58641434,0.02999053
Hist3h2a,Mir124a-1hg,0.45737112,0.0008742304
Hist3h2a,Gabarapl2,0.4097073,4.2348865e-06
Hist3h2a,Sbk1,0.5792158,0.026648654
Rpl31,Rplp0,0.4793905,0.0023166034
Gm45341,Gap43,0.4627869,0.0011459178
Ubb,Atp6v1e1,0.45251727,0.000670583
Ubb,Mir124a-1hg,0.49669588,0.0041857185
Ubb,Cbr1,0.44606546,0.00045255577
