source,target,PCC,Rescaled_PCC
AC140113.3,AC140113.2,0.68646014,0.05186185
FAM197Y9,FAM197Y7,0.57935,0.0039969683
MT-ND2,MT-ND5,0.5648471,0.0021815335
MT-ND2,MT-ND1,0.74266964,0.11432372
IDS,TTTY14,0.53078777,0.00023346648
SPANXC,MAGEC1,0.5252996,0.00012954819
DCX,TTTY14,0.66935605,0.038859043
DCX,PDZD4,0.5946201,0.0067770444
DCX,IDS,0.65587574,0.03029881
DCX,CDR1,0.56114876,0.0018291655
DCX,RAB33A,0.5616229,0.0018720471
PAK3,DCX,0.50827825,4.5384304e-06
BEX5,TTTY14,0.52599365,0.00014050491
BEX5,IDS,0.572932,0.0031034478
BEX5,DCX,0.6523916,0.02831217
TCEAL2,TTTY14,0.5419549,0.0005907956
TCEAL2,PDZD4,0.5156564,3.0702002e-05
TCEAL2,IDS,0.55079377,0.0010483861
TCEAL2,CDR1,0.5065927,2.2923352e-06
TCEAL2,RAB33A,0.5000259,1.3944343e-13
TCEAL2,DCX,0.667972,0.037914112
TCEAL2,BEX5,0.5692544,0.002657248
BEX3,HMGB3,0.5138965,2.1468843e-05
BEX3,NDUFA1,0.5006381,2.0787967e-09
MT-CO2,MT-ND5,0.5067731,2.485737e-06
MT-CO2,MT-ND1,0.8092859,0.23668474
MT-CO2,MT-ND2,0.7756795,0.1676114
MT-CO1,MT-ND5,0.54757977,0.00086170156
MT-CO1,MT-ND1,0.77154803,0.16018799
MT-CO1,MT-ND2,0.8021676,0.22071591
MT-CO1,MT-CO2,0.8147067,0.24934915
MT-CYB,MT-ND5,0.5815862,0.0043445
MT-CYB,MT-ND1,0.61739475,0.01294303
MT-CYB,MT-ND2,0.7249374,0.09104893
MT-CYB,MT-CO2,0.7327151,0.1008239
MT-CYB,MT-CO1,0.7474219,0.12117262
SSXP9,AC270261.2,0.5000752,3.4049315e-12
PCSK1N,TTTY14,0.6321693,0.018470634
PCSK1N,PDZD4,0.6071233,0.009834267
