source,target,PCC,Rescaled_PCC
AC002094.3,A1BG,0.32899264,2.2923512e-05
AC005943.1,AC004086.1,0.43496275,0.006013453
AC006453.2,AC004086.1,0.32895136,2.2779133e-05
AC007969.1,AC004086.1,0.45303825,0.0090015605
AC010132.3,AC004086.1,0.31183127,4.5046047e-08
AC010197.2,AC004086.1,0.40550527,0.0026969071
AC010422.8,AC004086.1,0.31100476,1.31669e-08
AC011481.3,AC002094.3,0.3830022,0.0012117263
AC016739.1,AC004086.1,0.35510883,0.00029041152
AC024592.3,AC004086.1,0.39184526,0.0017028638
AC027682.3,AC027682.2,0.32531476,1.22971005e-05
AC073861.1,AC004086.1,0.46879163,0.012299309
AC074138.1,AC008080.4,0.4540655,0.009196037
AC079922.1,AC004086.1,0.3102669,2.16161e-09
AC090692.1,AC078878.2,0.33277464,3.8900696e-05
AC092078.2,AC092078.1,0.33970538,8.471298e-05
AC093512.2,AC004086.1,0.4756076,0.013945307
AC093899.2,AC004086.1,0.5465262,0.04049048
AC093899.2,AC073861.1,0.34788615,0.00017340679
AC093899.2,AC093512.2,0.4308536,0.0054422934
AC104389.5,AC104389.4,0.66993684,0.14230308
AC114737.1,AC005522.1,0.32699195,1.6601256e-05
AC135178.2,AC004086.1,0.78881824,0.33456898
AC135178.2,AC005943.1,0.42049834,0.00416581
AC135178.2,AC006453.2,0.31982303,3.4634234e-06
AC135178.2,AC007969.1,0.44531137,0.007625851
AC135178.2,AC010197.2,0.38386282,0.0012547162
AC135178.2,AC016739.1,0.3464151,0.00015428539
AC135178.2,AC024592.3,0.37736666,0.00095424167
AC135178.2,AC073861.1,0.4607141,0.010522859
AC135178.2,AC093512.2,0.4533759,0.009065178
AC135178.2,AC093899.2,0.5334094,0.034136698
AC135983.2,AC127502.1,0.314878,5.061933e-07
AC234917.1,AC004522.2,0.3496553,0.00019841906
ACADSB,AC002094.3,0.4153977,0.0036181016
ACSL4,AC002094.3,0.4813621,0.01544425
ACSL4,AC011481.3,0.32629114,1.4697941e-05
ACSL4,ACADSB,0.3537871,0.00026595363
ACTA1,AC004086.1,0.60202056,0.07608546
ACTA1,AC006453.2,0.35511544,0.0002905376
ACTA1,AC007969.1,0.31326932,1.794395e-07
ACTA1,AC020909.3,0.32332763,8.247798e-06
ACTA1,AC073861.1,0.38737616,0.0014407611
ACTA1,AC093512.2,0.50642926,0.023229275
ACTA1,AC093899.2,0.7117944,0.1978387
ACTA1,AC135178.2,0.5808572,0.060743585
ACTB,AC004086.1,0.490185,0.017945109
ACTB,AC005943.1,0.36034685,0.00040205862
ACTB,AC135178.2,0.46822503,0.012168633
ACTC1,ABLIM3,0.3107691,8.244204e-09
ACTC1,AC004086.1,0.6414356,0.11115461
ACTC1,AC006453.2,0.3627013,0.0004603851
ACTC1,AC007969.1,0.33551395,5.4223576e-05
ACTC1,AC020909.3,0.35643548,0.00031642395
ACTC1,AC073861.1,0.41499192,0.003576717
ACTC1,AC093512.2,0.5159296,0.026753604
ACTC1,AC093899.2,0.72232074,0.21377328
ACTC1,AC135178.2,0.6193855,0.0904492
ACTC1,ACTA1,0.860872,0.5092173
ACTG1,AC004086.1,0.55105305,0.04285371
ACTG1,AC005943.1,0.3667565,0.0005736021
ACTG1,AC007969.1,0.3283897,2.0874313e-05
ACTG1,AC010197.2,0.35258052,0.00024486156
ACTG1,AC010422.8,0.32127988,5.1234447e-06
ACTG1,AC024592.3,0.3209674,4.730537e-06
ACTG1,AC135178.2,0.5253067,0.03056517
ACTG1,ACTB,0.6771023,0.15095676
ACTG2,ACTA2,0.41202036,0.0032832392
ACTL6B,AC092143.1,0.3564115,0.00031594033
ACTN2,AC004086.1,0.45121822,0.008663764
ACTN2,AC093512.2,0.37848425,0.0010020735
ACTN2,AC093899.2,0.53805524,0.03630472
