source,target,PCC,Rescaled_PCC
Reep1,Atp6v1e1,0.42551866,4.5385146e-05
Reep1,Mir124a-1hg,0.43386585,0.00012262852
Reep1,Cacng2,0.44553807,0.000332451
Reep1,Ndufa5,0.49704707,0.003777348
Reep1,Dalrd3,0.4185069,1.3652079e-05
Reep1,St8sia3,0.43543905,0.000143241
Dynll2,Atp6v1e1,0.4263935,5.122455e-05
Dynll2,Mir124a-1hg,0.43306977,0.000112997164
Dynll2,Cacng2,0.45564908,0.0006415595
Dynll2,Ndufa5,0.46970004,0.0013249618
Dynll2,Dalrd3,0.46205917,0.0009128809
Dynll2,St8sia3,0.43017253,8.221159e-05
Dynll2,Reep1,0.5606507,0.018088732
Pgam2,Fgf6,0.40686062,8.234418e-08
Pgam2,Myoz1,0.6194779,0.047144476
Gabarapl2,Mir124a-1hg,0.4166103,8.890916e-06
Chn1,Reep1,0.4939976,0.0034169906
Chn1,Dynll2,0.45002204,0.00045301535
Rplp0,H2afy,0.5195449,0.007245465
Rplp0,Crot,0.40888473,4.6516894e-07
Rplp0,Eif5a,0.60106504,0.03604949
Rplp0,Eif3g,0.470704,0.0013868914
Rplp0,Zfp422,0.4269985,5.554264e-05
Mirg,Myoz1,0.4719391,0.0014656894
Mirg,Pgam2,0.61787033,0.046095844
Ermap,Rhag,0.6642205,0.0830858
Arfgef3,Reep1,0.42630848,5.063625e-05
Mef2d,Pgam2,0.41936186,1.6262065e-05
Elovl4,Fgfbp1,0.5013595,0.0043289387
D430041D05Rik,Reep1,0.4355815,0.00014521394
Tecr,Ndufa5,0.46026498,0.000830468
Tecr,Dalrd3,0.4263601,5.099286e-05
Tecr,Reep1,0.49076936,0.0030612932
Tecr,Dynll2,0.49229062,0.0032256644
Micu3,Dynll2,0.4051363,3.0870735e-09
Fam57b,Atp6v1e1,0.4186253,1.39955155e-05
Fam57b,Mir124a-1hg,0.45161515,0.0005020038
Fam57b,Cacng2,0.43508387,0.00013839992
Fam57b,Ndufa5,0.44673333,0.00036218128
Fam57b,Dalrd3,0.4121605,2.324601e-06
Fam57b,St8sia3,0.42610443,4.924276e-05
Fam57b,Reep1,0.54936546,0.014448434
Fam57b,Dynll2,0.5339022,0.01030385
Fam57b,Chn1,0.45224142,0.0005221891
Fam57b,Tecr,0.45651382,0.0006745006
Cpox,Marc1,0.41469595,5.3621393e-06
Cpox,Rhag,0.7183173,0.14650044
Cpox,Ermap,0.80441445,0.30304223
Sbk1,Atp6v1e1,0.45616257,0.0006609876
Sbk1,Mir124a-1hg,0.6039763,0.03767314
Sbk1,Cbr1,0.40826485,3.0180095e-07
Sbk1,H2afy,0.41181424,2.0318553e-06
Sbk1,Cacng2,0.43979323,0.00021204508
Sbk1,Ndufa5,0.42180645,2.5512858e-05
Sbk1,Dalrd3,0.4387483,0.00019387853
Sbk1,St8sia3,0.47144717,0.0014339576
Sbk1,Reep1,0.5139556,0.0062418226
Sbk1,Dynll2,0.5513999,0.01506475
Sbk1,Rasgef1b,0.4426504,0.0002674339
Sbk1,Gabarapl2,0.51543325,0.006497498
Sbk1,Chn1,0.5229374,0.007904165
Sbk1,D430041D05Rik,0.42750588,5.934585e-05
Sbk1,Tecr,0.42948347,7.582387e-05
Sbk1,Fam57b,0.53286266,0.010057943
