name,module_label,degree,weighted_degree,rescaled_weighted_degree,clustering_coeff,margin_score
Tuba1a,1,1478,812.9043817499983,147.72148782585018,0.24733418048324193,0.787677526473999
Rtn1,1,1372,755.9434850800011,136.671721216326,0.27068195205559564,0.7787069082260132
Lrba,1,1614,863.1335385900011,130.26888498332372,0.2168963294668243,0.6074743866920471
Tmsb10,1,1579,845.4848009999995,128.66384045970685,0.22547199419503927,0.619023859500885
Basp1,1,1432,775.6367830200011,126.64233223340966,0.25953546568598745,0.7971388697624207
Tubb2b,1,1426,768.8135613700008,125.09156150297262,0.2643576683644595,0.7991173267364502
Crmp1,1,1316,718.5941056900004,124.28649852192738,0.29548695782819234,0.8644605278968811
Mapt,1,1287,703.8335822600001,121.53388564359501,0.29731215734326155,0.6800153255462646
Stmn2,1,1286,701.0446075500006,118.97379346955492,0.3017700346745254,0.6374613642692566
Stmn1,1,1415,755.8934536899995,116.0570375392058,0.2666010265842334,0.6708551645278931
Snrpn,1,1322,716.5028107400007,115.95404925608425,0.2910633648693684,0.7965096831321716
Mllt11,1,1313,710.29166597,115.75313852358337,0.29796546727843515,0.8943789601325989
Stmn3,1,1263,685.273228110001,112.69766024553297,0.3112103223151177,0.8099761009216309
Map2,1,1314,709.0623971900002,112.11807431058809,0.29743775220514673,0.8951163291931152
Gm38393,1,1301,700.6047580499994,108.75796965611543,0.2984497132383374,0.8142428994178772
Tubb2a,1,1257,679.4874695399991,107.9570137484878,0.31084018667436875,0.2898384630680084
Bex2,1,1270,684.3943885300002,106.69868984690535,0.3158578581932578,0.853424608707428
Dpysl3,1,1326,706.7875422099999,104.33401278881986,0.2942997808702581,0.887617290019989
Gng3,1,1275,681.80636068,102.54491055356648,0.3102742635515745,0.8497205376625061
Dcx,1,1293,689.669696389999,102.35598018243759,0.3090468083679925,0.8331485986709595
Calm2,1,1476,773.7056792100008,100.58143020643686,0.24958890266868772,0.6620010733604431
Ina,1,1191,641.7759029399982,100.07918704076927,0.33759639876101577,0.8070112466812134
Map1b,1,1247,664.0027310700003,96.68094781783586,0.3249596785093213,0.9381157755851746
Elavl3,1,1199,641.1100286700004,96.34937429222282,0.34717022114978957,0.8798115849494934
Gnao1,1,1230,655.488874190001,94.41673985139936,0.32667050348290305,0.793351948261261
Tubb3,1,1192,634.8902716500006,93.59362860768807,0.3516502403372046,0.7831066250801086
Gap43,1,1176,628.2895591399996,93.07423911681441,0.3404457953394124,0.474776029586792
Cnih2,1,1189,632.6482797200008,91.72161572429975,0.34934288214355497,0.8886823654174805
Nsg2,1,1145,609.8520983800003,88.61888373650648,0.37063853177390294,0.870557427406311
Rufy3,1,1184,628.0942115900006,88.09032972588656,0.35198676064060674,0.8924459218978882
Stmn4,1,1122,596.2580017999999,84.818407888525,0.3777550919808358,0.8295400738716125
Rab3a,1,1149,609.2008215700002,84.36893988098801,0.3677883813526684,0.8610592484474182
Dpysl2,1,1259,657.1454621200006,82.88808875378881,0.3255403700668383,0.8868736624717712
Sept3,1,1164,612.9299224600011,82.69354871353173,0.3645891505851971,0.9191210865974426
Cdk5r1,1,1130,596.41504555,81.76351785718036,0.37944613841052854,0.885709822177887
Pfn2,1,1246,649.6075768000007,80.44043010029782,0.3338477505527729,0.8263497948646545
Serf1,1,1240,644.7504312900012,78.585323510108,0.33856908537061625,0.7816594839096069
Nsg1,1,1132,595.7523170599999,78.54902552430603,0.37916037903853184,0.8983443379402161
Celf4,1,1102,581.5686726900002,78.41394252433189,0.38171205520142554,0.8707746863365173
Tubb5,1,1392,710.0791527400003,78.05959188699025,0.2674025136964228,0.3820215165615082
Uchl1,1,1110,583.40492055,77.53246128032448,0.3785229774409215,0.6425861120223999
Fnbp1l,1,1234,640.3038055400012,76.82545553800799,0.3335528503695641,0.7938761115074158
Rab3c,1,1087,571.8294749799999,75.3455844042914,0.39102841042896036,0.885285496711731
Nnat,1,1088,571.0374611000005,75.27424127029589,0.39822737972834027,0.8372623324394226
Calm1,1,1437,730.0408599599983,74.46816827702771,0.2628444821790988,0.4871816635131836
AC161165.4,1,1138,593.89560224,74.13006199377837,0.38110960147027684,0.925520122051239
Marcksl1,1,1309,667.7949166400008,73.14487541936772,0.2882105302504655,0.20923078060150146
Kif5c,1,1087,569.4061350800001,72.43222426491131,0.39921997963543704,0.9008698463439941
Nrxn1,1,1093,569.8525421599998,70.28223087590926,0.3760393312085902,0.8092215657234192
Myt1l,1,1046,548.4363397800012,70.20447587794644,0.4186502236819234,0.8659005761146545
Snap47,1,1133,587.6324064600001,68.75170375461684,0.3775414094979089,0.7663082480430603
Dpysl5,1,1050,547.3159244799998,67.50539382134568,0.427407508284534,0.9311832785606384
Gdi1,1,1123,578.5394489200004,65.68910140603248,0.39359495113515336,0.9018737077713013
Ybx1,1,1514,755.3863158600005,65.49897500018983,0.23858571377432572,-0.32190412282943726
Gng2,1,1082,558.84218625,64.470410648937,0.4145473572255442,0.8788405060768127
Gpm6a,1,1002,521.8046708899999,63.60751038847231,0.4444338097032708,0.823837161064148
2900011O08Rik,1,1020,529.8479996200003,63.19518749892517,0.4389847793877119,0.9304700493812561
Hsbp1,1,1302,656.7148956399994,62.29802863159281,0.3116201527597228,0.47939229011535645
Gm1673,1,1033,533.4459443299999,61.072050486237444,0.43364701291489377,0.7557523250579834
Soga3,1,995,513.4192852199996,58.36482469359026,0.4607767206252591,0.8989285230636597
Hdgfl3,1,1125,571.7721421,57.99353995805861,0.38937603795966785,0.9071593880653381
Ywhae,1,1541,756.193132590001,57.80421932720683,0.2209814844467667,-0.0084201879799366
Ptms,1,1210,607.5810989799998,57.34314340279503,0.33705883559255995,0.5351053476333618
Evl,1,1154,583.9316611999998,57.2741452152161,0.3768903666270343,0.7660678625106812
Apc,1,1161,586.6336758800004,56.83610766449502,0.3695164691556031,0.8292832970619202
Ly6h,1,974,502.7017893199998,56.74673212958049,0.4543221392378617,0.658259391784668
Dynlrb1,1,1253,626.8950296100012,56.66583935696971,0.3276965952640181,0.4909960925579071
Calm3,1,1176,592.4630552499988,56.051668022924545,0.3705123751628311,0.7682569622993469
Cfl1,1,1415,695.8350313100003,55.890893859598584,0.23525472183765575,-0.07546372711658478
